date,All Employees: Information,state,msa,city,title,id,frequency,seasonal_adjustment
1991-12-01,6.6043875261024905,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-01-01,6.59605959299809,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-02-01,6.56199455360152,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-03-01,6.58389268748033,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-04-01,6.52744911781281,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-05-01,6.398835247465401,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-06-01,6.57368435210112,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-07-01,6.285853605759501,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-08-01,6.349834087019559,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-09-01,6.33930934485662,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-10-01,6.5495600139926,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-11-01,6.444518264477191,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1992-12-01,6.597122388148151,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-01-01,6.71034990281554,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-02-01,6.65307547909096,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-03-01,6.57464485252235,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-04-01,6.9382368796103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-05-01,6.9857928046603,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-06-01,6.84757628147859,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-07-01,6.688075073616231,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-08-01,7.16477183463833,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-09-01,7.45545632446731,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-10-01,7.080835903950759,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-11-01,7.127698478984599,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1993-12-01,6.88174331369296,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-01-01,6.910397632154571,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-02-01,6.942034805515079,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-03-01,6.858033422831861,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-04-01,6.84849004043381,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-05-01,6.96889824386281,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-06-01,7.12445415165588,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-07-01,7.29081030486292,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-08-01,7.2059981456736795,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1994-09-01,7.189776631254309,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
