date,Housing Inventory: Median Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2018-12-01,249900.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-01-01,249700.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-02-01,254885.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-03-01,265857.1429,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-04-01,275000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-05-01,279000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-06-01,279310.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-07-01,274949.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-08-01,271956.5714,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-09-01,269324.5714,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-10-01,275000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-11-01,275000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2019-12-01,275000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-01-01,281400.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-02-01,294500.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-03-01,299500.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-04-01,299950.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-05-01,317005.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-06-01,343860.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-07-01,345785.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
