date,Housing Inventory: Active Listing Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2019-09-01,-24.93,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2019-10-01,-21.48,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2019-11-01,-22.15,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2019-12-01,-26.76,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-01-01,-28.3,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-02-01,-28.6,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-03-01,-27.09,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-04-01,-22.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-05-01,-31.73,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-06-01,-44.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-07-01,-49.64,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-08-01,-49.56,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-09-01,-48.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-10-01,-50.78,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-11-01,-48.01,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2020-12-01,-49.52,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-01-01,-52.6,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-02-01,-57.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-03-01,-57.99,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-04-01,-61.97,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-05-01,-57.1,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-06-01,-42.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-07-01,-29.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-08-01,-25.06,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-09-01,-22.3,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-10-01,-26.01,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2021-11-01,-35.2,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-07-01,-17.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2017-08-01,5.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2017-09-01,4.41,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
