date,All Employees: Retail Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1992-11-01,33.231659056378,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1992-12-01,33.034934973635394,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-01-01,33.679490315974604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-02-01,33.6612040790587,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-03-01,33.7948236354581,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-04-01,33.9383227296298,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-05-01,33.5365696330478,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-06-01,33.6300125094361,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-07-01,34.1957637100316,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-08-01,34.354604791236504,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-09-01,34.4535083794449,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-10-01,34.4506370768051,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-11-01,34.454622870538,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1993-12-01,34.3565143922257,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-01-01,35.081179829373305,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-02-01,35.298231353484205,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
