date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
1993-01-01,5.9,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-02-01,6.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-03-01,6.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-04-01,6.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-05-01,6.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-06-01,6.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-07-01,6.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-08-01,6.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-09-01,6.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-10-01,6.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-11-01,6.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1993-12-01,6.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-01-01,5.9,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-02-01,5.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-03-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-04-01,4.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-05-01,4.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-06-01,4.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-07-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-08-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-09-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-10-01,4.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-11-01,4.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1994-12-01,4.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
