date,Housing Inventory: New Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2018-12-01,880.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-01-01,912.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-02-01,1076.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-03-01,1092.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-04-01,1316.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-05-01,1264.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-06-01,1376.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-07-01,1268.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-08-01,1152.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-09-01,1004.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-10-01,1116.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2019-11-01,776.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
