date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2019-09-01,8.2,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-10-01,8.97,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-11-01,9.09,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-12-01,8.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-01-01,8.31,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-02-01,10.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-03-01,11.19,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-04-01,8.99,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-05-01,10.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-06-01,14.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-07-01,15.65,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-08-01,17.09,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-09-01,17.65,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-10-01,14.14,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-11-01,13.48,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
