date,All Employees: Financial Activities,state,msa,city,title,id,frequency,seasonal_adjustment
1992-12-01,17.076817060627302,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-01-01,17.094205096659,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-02-01,17.0723874215487,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-03-01,17.1575552196175,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-04-01,17.2507902459622,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-05-01,17.2173816517151,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-06-01,17.2807288559697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-07-01,17.3204516196449,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-08-01,17.2673651374008,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-09-01,17.3411275642927,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-10-01,17.5567028933821,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-11-01,17.5907851750574,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-12-01,17.557890123538,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-01-01,17.501431455309,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-02-01,17.5772903708574,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-03-01,17.4548949361895,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-04-01,17.509047247919902,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-05-01,17.715883369053,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-06-01,17.5851745875996,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-07-01,17.617781133655697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-08-01,17.592517553418396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-09-01,17.6601301528377,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-10-01,17.4649287651579,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-11-01,17.5764029861778,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1994-12-01,17.7409645992392,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-01-01,17.8073315560591,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-02-01,17.671916575674103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-03-01,17.5588115321141,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-04-01,17.8850869236807,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-05-01,18.0255636463239,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-06-01,17.7934781826918,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-07-01,17.616235153522197,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-08-01,17.6167447569065,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-09-01,17.5704945773276,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-10-01,17.556993929082598,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-11-01,17.7626818033008,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1995-12-01,17.7254879477555,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-01-01,17.707787782433396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-02-01,17.8724516998453,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-03-01,17.8479551784212,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-04-01,17.8693837736288,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-05-01,17.9530674924511,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-06-01,17.9029707425881,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-07-01,18.222370722677102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-08-01,18.240602182971,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-09-01,18.2803609896761,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-10-01,18.138767413649603,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-11-01,18.138514794861102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1996-12-01,18.2108419020992,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-01-01,18.3048905711261,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-02-01,18.3584205461733,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-03-01,18.5463535218163,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-04-01,18.5780306504337,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-05-01,18.573617324645802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-06-01,18.623794374578,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-07-01,18.629604036013802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-08-01,18.656593684586397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-09-01,18.5682022554874,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-10-01,18.7208870962147,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1997-11-01,18.7305308433432,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
