date,All Employees: Government: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1992-11-01,16.5749533687507,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-12-01,16.425854587768,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-01-01,16.8567020892928,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-02-01,16.8581113479766,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-03-01,16.766405971608,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-04-01,16.8756006309905,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-05-01,16.9229305426908,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-06-01,16.8602055684698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-07-01,16.973337676049198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-08-01,16.987169913868197,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-09-01,17.0927961918627,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-10-01,17.4155333596247,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-11-01,17.138903049105,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-12-01,17.1280569282568,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-01-01,17.2202651958175,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-02-01,17.2974775365624,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-03-01,17.483724892543698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-04-01,17.5464803510252,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-05-01,17.5546830009083,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-06-01,17.577605748364,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-07-01,17.68662875151,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-08-01,17.717047854233602,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-09-01,17.7028115622453,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-10-01,17.9959806776906,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-11-01,17.7765876315712,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1994-12-01,17.884723622954898,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-01-01,17.6770303523636,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-02-01,17.9399818906832,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-03-01,18.135428247211,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-04-01,18.0511762388876,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-05-01,17.9798911435301,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-06-01,17.661453113668603,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-07-01,17.875857425412,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-08-01,17.9574227197034,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-09-01,18.115644028590697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-10-01,17.9256850331318,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-11-01,18.0277281130618,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1995-12-01,18.026682186965,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-01-01,17.713833495283602,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-02-01,18.2418501467867,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-03-01,18.1938646873032,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-04-01,18.4832690469052,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-05-01,18.822255130845,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-06-01,19.1300950528534,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-07-01,19.3135686180632,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-08-01,19.5934677209153,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-09-01,20.064759988459002,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-10-01,20.1732167195857,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-11-01,20.4179211813103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1996-12-01,21.281470785687198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1997-01-01,21.336882359729398,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1997-02-01,21.2349550806148,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1997-03-01,21.193383807731102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1997-04-01,21.298328884697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1997-05-01,21.293813224883603,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1997-06-01,21.2208006261151,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1997-07-01,21.2293995562687,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
