date,Housing Inventory: Median Home Size in Square Feet Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,4.36,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2017-08-01,4.2,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2017-09-01,3.54,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2017-10-01,2.31,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2017-11-01,3.32,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2017-12-01,3.91,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-01-01,3.61,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-02-01,2.27,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-03-01,-0.22,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-04-01,-0.69,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-05-01,-0.24,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-06-01,-0.69,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-07-01,-1.36,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-08-01,-2.64,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-09-01,-3.66,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-10-01,-4.37,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-11-01,-5.96,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2018-12-01,-6.96,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2019-01-01,-7.05,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2019-02-01,-6.72,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2019-03-01,-5.74,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2019-04-01,-4.6,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
2019-05-01,-4.08,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEYY16700,Monthly,Not Seasonally Adjusted
