date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
1992-08-01,6.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1992-09-01,6.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1992-10-01,6.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1992-11-01,8.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1992-12-01,8.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-01-01,10.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-02-01,9.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-03-01,9.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-04-01,7.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-05-01,6.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-06-01,7.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-07-01,6.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-08-01,6.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-09-01,5.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-10-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-11-01,6.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1993-12-01,6.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-01-01,9.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-02-01,9.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-03-01,8.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-04-01,6.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-05-01,5.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-06-01,5.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-07-01,5.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-08-01,5.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-09-01,4.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-10-01,4.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-11-01,4.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1994-12-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-01-01,8.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-02-01,8.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-03-01,8.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-04-01,7.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-05-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-06-01,5.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-07-01,6.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-08-01,5.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-09-01,4.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-10-01,4.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-11-01,6.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1995-12-01,6.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-01-01,10.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-02-01,9.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-03-01,9.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-04-01,7.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-05-01,7.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-06-01,6.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-07-01,6.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-08-01,5.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-09-01,4.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-10-01,4.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-11-01,5.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1996-12-01,6.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-01-01,9.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-02-01,8.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-03-01,8.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-04-01,7.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-05-01,6.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-06-01,6.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-07-01,5.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-08-01,5.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-09-01,4.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
