date,Per Capita Personal Income,state,msa,city
1994-01-01,23790,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-01-01,24752,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-01-01,26001,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-01-01,27121,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-01-01,29091,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-01-01,30302,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-01-01,31952,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-01-01,32839,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-01-01,33364,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-01-01,34835,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-01-01,36797,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-01-01,39202,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-01-01,42568,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-01-01,44196,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-01-01,44541,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-01-01,42534,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-01-01,44505,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-01-01,46876,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-01-01,50048,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-01-01,49550,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-01-01,52214,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2015-01-01,55522,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2016-01-01,57308,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2017-01-01,59238,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2018-01-01,61594,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2019-01-01,64705,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2020-01-01,69805,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1969-01-01,4748,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1970-01-01,4985,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1971-01-01,5147,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1972-01-01,5598,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1973-01-01,6071,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1974-01-01,6649,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1975-01-01,7236,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1976-01-01,7933,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1977-01-01,8774,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1978-01-01,9884,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1979-01-01,11104,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1980-01-01,12325,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1981-01-01,13650,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1982-01-01,14189,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1983-01-01,14921,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1984-01-01,16323,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1985-01-01,17241,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1986-01-01,17953,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1987-01-01,19025,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1988-01-01,20096,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1989-01-01,20969,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-01-01,22280,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
