date,All Employees: Government: Federal Government,state,msa,city
2000-10-01,145.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-11-01,144.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-12-01,146.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-01-01,145.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-02-01,145.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-03-01,146.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-04-01,146.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-05-01,145.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-06-01,145.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-07-01,145.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-08-01,145.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-09-01,144.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-10-01,144.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-11-01,144.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-12-01,145.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-01-01,143.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-02-01,143.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-03-01,145.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-04-01,142.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-05-01,141.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-06-01,141.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-07-01,141.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-08-01,141.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-09-01,140.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-10-01,141.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-11-01,141.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-12-01,143.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-01-01,141.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-02-01,141.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-03-01,141.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-04-01,141.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-05-01,140.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-06-01,139.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-07-01,139.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-08-01,139.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-09-01,138.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-10-01,137.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-11-01,136.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-12-01,137.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-01-01,136.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-02-01,135.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-03-01,135.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-04-01,135.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-05-01,134.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-06-01,135.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-07-01,135.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-08-01,135.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-09-01,134.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-10-01,133.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-11-01,134.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-12-01,135.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-01-01,133.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-02-01,133.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
