date,Housing Inventory: Pending Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2018-10-01,1569.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2018-11-01,1563.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2018-12-01,1392.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-01-01,1307.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-02-01,1764.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-03-01,2033.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-04-01,2203.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-05-01,2329.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-06-01,2259.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-07-01,2070.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-08-01,1971.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-09-01,1763.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
