date,Average Hourly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2012-01-01,19.491021899721197,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-02-01,19.518624239446698,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-03-01,19.864165516183398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-04-01,20.8069676164481,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-05-01,21.2042078482762,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-06-01,21.228692406657103,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-07-01,21.657340204868998,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-08-01,21.302854154705102,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-09-01,21.2143727660351,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-10-01,20.533735906152998,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-11-01,20.7563123988037,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2012-12-01,22.1361023577886,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-01-01,20.8274927536626,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-02-01,21.0642070069223,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-03-01,21.191773743610497,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-04-01,20.0972260865633,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-05-01,20.148944303367198,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-06-01,19.706224196174396,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-07-01,19.551084870425104,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-08-01,19.8791529940242,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-09-01,19.825550676436396,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-10-01,19.8623264791187,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-11-01,20.076073884096104,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2013-12-01,20.5200685769076,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-01-01,20.456873001629102,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-02-01,20.0489396675484,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-03-01,19.0070317825213,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-04-01,18.880893817015604,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-05-01,19.1457743230468,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-06-01,19.835940625254,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-07-01,19.774452637467803,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-08-01,19.4381950913493,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-09-01,19.8988304377082,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-10-01,19.834898602741102,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-11-01,19.5237057662944,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2014-12-01,18.741800392711397,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2015-01-01,19.202955580482303,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2015-02-01,19.2093541574716,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2015-03-01,19.663318822867,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2015-04-01,19.3514303294857,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2015-05-01,19.1617041190019,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2015-06-01,19.2225703732373,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2015-07-01,18.739789651221603,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2015-08-01,19.0561323851183,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
