date,Housing Inventory: Active Listing Count,state,msa,city
2017-08-01,0.29,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,-2.33,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,-1.18,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,-5.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,-10.06,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,-8.45,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,6.39,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,5.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,8.42,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,9.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,4.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,0.81,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,-1.11,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,1.08,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,0.72,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,-3.48,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,-9.44,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,-7.81,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,3.23,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,6.22,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,6.83,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,8.46,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,3.51,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,-1.38,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,-2.34,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,-2.56,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,-0.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,-5.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,-13.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,-8.66,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-02-01,2.29,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-03-01,3.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-04-01,-3.42,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-05-01,-4.46,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-06-01,4.72,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-07-01,5.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-08-01,3.55,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-09-01,0.68,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-10-01,2.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-11-01,-4.31,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-12-01,-12.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-01-01,-13.23,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-02-01,-6.05,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-03-01,-0.12,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-04-01,4.38,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-05-01,5.87,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-06-01,6.27,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-07-01,0.62,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-08-01,3.66,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-09-01,-0.22,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-10-01,0.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-11-01,-5.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,-8.11,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,-5.33,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,-5.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,-4.45,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,-5.23,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,-5.33,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,-5.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,-3.57,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,-3.04,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,0.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,0.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,3.89,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,5.39,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,3.92,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,7.55,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,9.62,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,12.46,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,13.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,14.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,10.63,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,11.28,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,9.65,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,8.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,7.58,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,5.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,3.92,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,0.19,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,-0.83,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,-3.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,-7.22,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,-8.07,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-02-01,-8.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-03-01,-11.41,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-04-01,-19.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-05-01,-29.45,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-06-01,-28.63,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-07-01,-23.87,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-08-01,-19.27,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-09-01,-16.59,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-10-01,-14.47,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-11-01,-13.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-12-01,-12.84,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-01-01,-17.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-02-01,-23.95,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-03-01,-26.48,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-04-01,-20.54,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-05-01,-11.95,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-06-01,-10.64,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-07-01,-14.54,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-08-01,-14.44,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-09-01,-15.21,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-10-01,-16.57,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-11-01,-17.38,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-07-01,42786.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2016-08-01,42503.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2016-09-01,42500.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2016-10-01,41581.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2016-11-01,38297.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2016-12-01,33366.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-01-01,30439.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
