date,All Employees: Government,state,msa,city,title,id,frequency,seasonal_adjustment
1992-08-01,4.95148760635246,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1992-09-01,5.02087093394141,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1992-10-01,5.52052776367085,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1992-11-01,5.429349690754879,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1992-12-01,5.008395294417861,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-01-01,5.439270774266441,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-02-01,5.51379324061561,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-03-01,5.46122674538602,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-04-01,5.53035827870719,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-05-01,5.61296875689613,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-06-01,5.50381340206666,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-07-01,5.6093829752576605,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-08-01,5.60670999135232,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-09-01,5.57056961475247,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-10-01,5.60955568632883,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-11-01,5.530735469864251,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1993-12-01,5.618023244124041,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-01-01,5.42447147062613,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-02-01,5.50559479377002,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-03-01,5.56782886888028,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-04-01,5.43455635440372,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-05-01,5.30407875021706,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-06-01,5.58796377203111,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-07-01,5.54048790064759,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-08-01,5.3603489784287595,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-09-01,5.431081285076621,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-10-01,5.50413623842206,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-11-01,5.53651825882285,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1994-12-01,5.63271974481921,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-01-01,5.28799270150341,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-02-01,5.487464572411901,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-03-01,5.46871291186969,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-04-01,5.536411612785679,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-05-01,5.492058955380879,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-06-01,5.5884422984688795,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-07-01,5.57021447957746,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-08-01,5.605055237008919,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
