date,All Employees: Federal Government,state,msa,city
1993-08-01,81.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-09-01,82.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-10-01,81.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-11-01,81.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-12-01,82.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-01-01,80.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-02-01,81.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-03-01,81.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-04-01,80.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-05-01,80.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-06-01,81.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-07-01,80.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-08-01,80.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-09-01,80.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-10-01,80.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-11-01,79.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-12-01,81.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-01-01,79.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-02-01,79.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-03-01,79.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-04-01,79.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-05-01,78.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-06-01,79.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-07-01,78.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-08-01,78.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-09-01,78.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-10-01,78.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-11-01,77.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-12-01,79.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-01-01,77.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-02-01,77.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-03-01,77.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-04-01,76.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-05-01,76.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-06-01,75.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-07-01,74.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-08-01,74.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-09-01,74.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-10-01,73.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-11-01,73.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-12-01,75.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-01-01,72.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-02-01,71.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-03-01,71.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
