date,Resident Population,state,msa,city
2004-01-01,114.911,WV,"Morgantown, WV",Morgantown
2005-01-01,115.988,WV,"Morgantown, WV",Morgantown
2006-01-01,117.039,WV,"Morgantown, WV",Morgantown
2007-01-01,117.927,WV,"Morgantown, WV",Morgantown
2008-01-01,118.931,WV,"Morgantown, WV",Morgantown
2009-01-01,120.327,WV,"Morgantown, WV",Morgantown
2010-01-01,130.314,WV,"Morgantown, WV",Morgantown
2011-01-01,132.73,WV,"Morgantown, WV",Morgantown
2012-01-01,134.914,WV,"Morgantown, WV",Morgantown
2013-01-01,136.085,WV,"Morgantown, WV",Morgantown
2014-01-01,137.558,WV,"Morgantown, WV",Morgantown
2015-01-01,138.726,WV,"Morgantown, WV",Morgantown
2016-01-01,139.668,WV,"Morgantown, WV",Morgantown
2017-01-01,139.932,WV,"Morgantown, WV",Morgantown
2018-01-01,139.473,WV,"Morgantown, WV",Morgantown
2019-01-01,139.76,WV,"Morgantown, WV",Morgantown
2020-01-01,140.199,WV,"Morgantown, WV",Morgantown
2000-01-01,124.545,CA,"Napa, CA",Napa
2001-01-01,126.731,CA,"Napa, CA",Napa
2002-01-01,128.584,CA,"Napa, CA",Napa
2003-01-01,129.8,CA,"Napa, CA",Napa
2004-01-01,130.007,CA,"Napa, CA",Napa
2005-01-01,129.859,CA,"Napa, CA",Napa
2006-01-01,130.818,CA,"Napa, CA",Napa
2007-01-01,131.949,CA,"Napa, CA",Napa
2008-01-01,133.591,CA,"Napa, CA",Napa
2009-01-01,134.65,CA,"Napa, CA",Napa
2010-01-01,136.752,CA,"Napa, CA",Napa
2011-01-01,137.668,CA,"Napa, CA",Napa
2012-01-01,138.504,CA,"Napa, CA",Napa
2013-01-01,139.522,CA,"Napa, CA",Napa
2014-01-01,140.331,CA,"Napa, CA",Napa
2015-01-01,140.766,CA,"Napa, CA",Napa
2016-01-01,140.778,CA,"Napa, CA",Napa
2017-01-01,139.818,CA,"Napa, CA",Napa
2018-01-01,138.62,CA,"Napa, CA",Napa
2019-01-01,137.678,CA,"Napa, CA",Napa
2020-01-01,135.965,CA,"Napa, CA",Napa
2010-01-01,116.609,NY,"Watertown-Fort Drum, NY",Watertown
2011-01-01,117.809,NY,"Watertown-Fort Drum, NY",Watertown
2012-01-01,120.335,NY,"Watertown-Fort Drum, NY",Watertown
2013-01-01,118.617,NY,"Watertown-Fort Drum, NY",Watertown
2014-01-01,118.121,NY,"Watertown-Fort Drum, NY",Watertown
2015-01-01,116.539,NY,"Watertown-Fort Drum, NY",Watertown
2016-01-01,113.28,NY,"Watertown-Fort Drum, NY",Watertown
2017-01-01,113.488,NY,"Watertown-Fort Drum, NY",Watertown
2018-01-01,112.266,NY,"Watertown-Fort Drum, NY",Watertown
2019-01-01,110.143,NY,"Watertown-Fort Drum, NY",Watertown
2020-01-01,108.095,NY,"Watertown-Fort Drum, NY",Watertown
2010-01-01,85.653,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2011-01-01,85.448,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2012-01-01,85.474,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2013-01-01,85.601,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2014-01-01,85.553,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2015-01-01,85.001,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2016-01-01,84.412,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2017-01-01,83.893,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2018-01-01,83.45,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2019-01-01,83.201,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2020-01-01,82.884,PA,"Bloomsburg-Berwick, PA",Bloomsburg
2000-01-01,57.952,ID,"Lewiston, ID-WA",Lewiston
2001-01-01,57.47,ID,"Lewiston, ID-WA",Lewiston
2002-01-01,57.635,ID,"Lewiston, ID-WA",Lewiston
2003-01-01,58.196,ID,"Lewiston, ID-WA",Lewiston
2004-01-01,58.589,ID,"Lewiston, ID-WA",Lewiston
2005-01-01,58.966,ID,"Lewiston, ID-WA",Lewiston
2006-01-01,59.641,ID,"Lewiston, ID-WA",Lewiston
2007-01-01,59.935,ID,"Lewiston, ID-WA",Lewiston
2008-01-01,60.26,ID,"Lewiston, ID-WA",Lewiston
2009-01-01,60.643,ID,"Lewiston, ID-WA",Lewiston
2010-01-01,61.042,ID,"Lewiston, ID-WA",Lewiston
2011-01-01,61.428,ID,"Lewiston, ID-WA",Lewiston
2012-01-01,61.447,ID,"Lewiston, ID-WA",Lewiston
2013-01-01,61.986,ID,"Lewiston, ID-WA",Lewiston
2014-01-01,62.108,ID,"Lewiston, ID-WA",Lewiston
2015-01-01,62.206,ID,"Lewiston, ID-WA",Lewiston
2016-01-01,62.562,ID,"Lewiston, ID-WA",Lewiston
2017-01-01,62.988,ID,"Lewiston, ID-WA",Lewiston
2018-01-01,63.107,ID,"Lewiston, ID-WA",Lewiston
2019-01-01,63.288,ID,"Lewiston, ID-WA",Lewiston
2020-01-01,63.575,ID,"Lewiston, ID-WA",Lewiston
