date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city
2018-02-01,3.53,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-03-01,3.32,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-04-01,2.95,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-05-01,4.46,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-06-01,4.22,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-07-01,3.99,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-08-01,4.06,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-09-01,3.52,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-10-01,3.57,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-11-01,3.42,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-12-01,3.28,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
