date,All Employees: Wholesale Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1992-08-01,3.4904352016296802,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1992-09-01,3.50068625870625,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1992-10-01,3.4550948360823,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1992-11-01,3.41584184275594,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1992-12-01,3.3766494039499904,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-01-01,3.4283037051035397,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-02-01,3.48038907975042,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-03-01,3.4491659729748303,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-04-01,3.43324638018102,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-05-01,3.40655505960759,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-06-01,3.5449126320729,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-07-01,3.51439331205567,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-08-01,3.6879281670334603,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
