date,All Employees: Education and Health Services,state,msa,city,title,id,frequency,seasonal_adjustment
1992-06-01,7.2791453344371995,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-07-01,7.43674106322397,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-08-01,7.258845272319269,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-09-01,6.80561766703073,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-10-01,7.42102383635581,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-11-01,7.384371502063059,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-12-01,7.36454141493716,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-01-01,7.40544184199841,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-02-01,7.4214424696946,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-03-01,7.3458483801996195,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-04-01,7.383354161683531,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-05-01,7.393437863199639,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-06-01,7.07588384128067,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-07-01,7.02615861949394,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-08-01,7.04240681549785,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-09-01,7.108829073768411,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-10-01,7.13276370955793,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
