date,All Employees: Accommodation and Food Services,state,msa,city
1995-08-01,401.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-09-01,403.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-10-01,397.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-11-01,400.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-12-01,401.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-01-01,374.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-02-01,379.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-03-01,385.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-04-01,391.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-05-01,409.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-06-01,420.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-07-01,410.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-08-01,409.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-09-01,409.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-10-01,405.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-11-01,404.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-12-01,408.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-01-01,386.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-02-01,389.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-03-01,397.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-04-01,403.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-05-01,418.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-06-01,430.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-07-01,420.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-08-01,421.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-09-01,422.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-10-01,416.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-11-01,417.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-12-01,420.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-01-01,398.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-02-01,403.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-03-01,409.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-04-01,412.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-05-01,430.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-06-01,440.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-07-01,432.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-08-01,429.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-09-01,431.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-10-01,428.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-11-01,428.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-12-01,436.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-01-01,409.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-02-01,413.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-03-01,419.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-04-01,426.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-05-01,438.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-06-01,449.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-07-01,441.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-08-01,440.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-09-01,438.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-10-01,437.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-11-01,439.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-12-01,444.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-01-01,417.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-02-01,423.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-03-01,428.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-04-01,438.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-05-01,450.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-06-01,462.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-07-01,455.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-08-01,453.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-09-01,453.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-10-01,452.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-11-01,454.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-12-01,458.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-01-01,432.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-02-01,437.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-03-01,441.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-04-01,446.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-05-01,462.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-06-01,472.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-07-01,464.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-08-01,465.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-09-01,462.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-10-01,445.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-11-01,448.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-12-01,452.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-01-01,422.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-02-01,429.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-03-01,436.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-04-01,446.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-05-01,460.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-06-01,470.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-07-01,461.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-08-01,460.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-09-01,459.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-10-01,457.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-11-01,459.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-12-01,461.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-01-01,442.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-02-01,445.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-03-01,449.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-04-01,456.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-05-01,471.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-06-01,481.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-07-01,478.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-08-01,475.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-09-01,478.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-10-01,472.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-11-01,474.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-12-01,475.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-01-01,450.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-02-01,452.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-03-01,459.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-04-01,467.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-05-01,482.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-06-01,495.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-07-01,493.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-08-01,491.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-09-01,490.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-10-01,484.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-11-01,484.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-12-01,487.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-01-01,460.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-02-01,463.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-03-01,471.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-04-01,481.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-05-01,494.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-06-01,507.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-07-01,499.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-08-01,498.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-09-01,499.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-10-01,489.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-11-01,491.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-12-01,492.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-01-01,469.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-02-01,472.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-03-01,482.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-04-01,487.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-05-01,505.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-06-01,518.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-07-01,512.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-08-01,510.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-09-01,511.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-10-01,505.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-11-01,509.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-12-01,512.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-01-01,486.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-02-01,490.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-03-01,495.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-04-01,506.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-05-01,522.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-06-01,535.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-07-01,528.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-08-01,526.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-09-01,526.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-10-01,523.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-11-01,525.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-12-01,526.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,500.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-02-01,504.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-03-01,510.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-04-01,521.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-05-01,535.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-06-01,546.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-07-01,536.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-08-01,532.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-09-01,535.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-10-01,529.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-11-01,525.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-12-01,524.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,497.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-02-01,498.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-03-01,502.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-04-01,510.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-05-01,532.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-06-01,542.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-07-01,534.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-08-01,532.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-09-01,538.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-10-01,532.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-11-01,529.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-12-01,530.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,505.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-02-01,507.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-03-01,515.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-04-01,534.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-05-01,550.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-06-01,561.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-07-01,555.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-08-01,556.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-09-01,558.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-10-01,557.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-11-01,556.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-12-01,558.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,531.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-02-01,536.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-03-01,544.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-04-01,562.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-05-01,579.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-06-01,592.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-07-01,585.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-08-01,586.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-09-01,588.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-10-01,584.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-11-01,584.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-12-01,585.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,560.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-02-01,569.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-03-01,578.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-04-01,587.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-05-01,609.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-06-01,624.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-07-01,618.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-08-01,621.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-09-01,622.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-10-01,616.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-11-01,601.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-12-01,608.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,584.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-02-01,590.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-03-01,600.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-04-01,615.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-05-01,634.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-06-01,653.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-07-01,644.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-08-01,642.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-09-01,644.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-10-01,638.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-11-01,636.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-12-01,632.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,607.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-02-01,609.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-03-01,613.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-04-01,629.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-05-01,650.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-06-01,672.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-07-01,663.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-08-01,662.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-09-01,656.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-10-01,648.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-11-01,644.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-12-01,646.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-01-01,402.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,376.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,370.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-01-01,372.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
