date,Regional Price Parities,state,msa,city,title,id,frequency,seasonal_adjustment
2013-01-01,98.4,VA,"Charlottesville, VA",Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2014-01-01,97.8,VA,"Charlottesville, VA",Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2015-01-01,98.1,VA,"Charlottesville, VA",Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2016-01-01,98.8,VA,"Charlottesville, VA",Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2017-01-01,98.8,VA,"Charlottesville, VA",Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2018-01-01,98.9,VA,"Charlottesville, VA",Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2019-01-01,98.8,VA,"Charlottesville, VA",Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2008-01-01,106.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2009-01-01,107.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2010-01-01,106.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2011-01-01,106.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2012-01-01,106.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2013-01-01,104.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2014-01-01,103.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2015-01-01,103.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2016-01-01,103.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2017-01-01,102.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2018-01-01,102.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2019-01-01,102.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2008-01-01,94.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2009-01-01,92.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
