date,All Employees: Leisure and Hospitality,state,msa,city,title,id,frequency,seasonal_adjustment
1992-05-01,2.5454253232521604,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1992-06-01,2.63859846366052,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1992-07-01,2.6005804870150198,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1992-08-01,2.58966410656192,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1992-09-01,2.61091865147576,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1992-10-01,2.6673556635958398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1992-11-01,2.7225708278255296,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1992-12-01,2.65209883866846,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-01-01,2.7119852094989003,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-02-01,2.715075794854,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-03-01,2.67096628578637,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-04-01,2.6864990481769,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-05-01,2.7276534507746804,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-06-01,2.7359654071889503,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-07-01,2.71507650520498,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-08-01,2.6821895403243703,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
