date,All Employees: Information,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-02-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-03-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-04-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-05-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-06-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-07-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-08-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-09-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-10-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-11-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1990-12-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-01-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-02-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-03-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-04-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-05-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-06-01,2.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-07-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-08-01,2.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-09-01,2.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-10-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-11-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1991-12-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-01-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-02-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-03-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-04-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-05-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-06-01,2.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-07-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-08-01,2.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-09-01,2.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-10-01,2.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-11-01,2.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
1992-12-01,2.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Information in Burlington-South Burlington, VT (NECTA)",BURL450INFO,Monthly,Seasonally Adjusted
