date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2019-01-01,1248.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-02-01,1336.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-03-01,1596.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-04-01,1820.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-05-01,1836.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-06-01,1896.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-07-01,2056.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-08-01,2028.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-09-01,1884.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-10-01,1724.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-11-01,1452.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2019-12-01,876.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-01-01,1064.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-02-01,1096.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-03-01,1044.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-04-01,920.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-05-01,1104.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-06-01,1208.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-07-01,1108.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-08-01,940.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-09-01,916.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-10-01,932.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-11-01,792.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2020-12-01,568.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-01-01,416.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-02-01,308.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-03-01,316.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-04-01,248.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-05-01,268.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-06-01,336.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-07-01,424.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-08-01,660.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-09-01,580.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-10-01,484.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2021-11-01,452.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2016-07-01,328.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
