date,Housing Inventory: Price Reduced Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2019-05-01,20.16,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-06-01,19.4,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-07-01,14.48,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-08-01,22.76,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-09-01,18.34,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-10-01,-2.27,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-11-01,-13.78,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-12-01,-33.64,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2020-01-01,-14.74,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2020-02-01,-17.96,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
