date,All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
1992-03-01,30.5052080297413,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-04-01,30.8500984141682,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-05-01,30.6042955336053,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-06-01,30.809544465111,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-07-01,30.877457818650104,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-08-01,30.831881540182298,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-09-01,30.3091578483151,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-10-01,30.989289200156698,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-11-01,31.1777479489796,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1992-12-01,31.024153272607897,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-01-01,31.3327619284796,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-02-01,31.454673979325598,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-03-01,31.111246717578897,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-04-01,31.297816097296298,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-05-01,31.654883255362,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-06-01,30.989350407244896,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-07-01,31.179384321852698,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-08-01,31.1374317580267,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-09-01,31.619874173006203,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-10-01,31.0272562187932,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-11-01,31.3949906403214,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1993-12-01,31.321685548978895,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-01-01,30.830100352096,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-02-01,31.389165950415396,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-03-01,31.706644260773697,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-04-01,32.363025600647504,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-05-01,32.1104226326925,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-06-01,32.279416736178305,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-07-01,32.276528505901105,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-08-01,32.2335035179817,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-09-01,32.4330055559018,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-10-01,32.4579414252986,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-11-01,32.4209728748436,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1994-12-01,32.6262774003759,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-01-01,31.753988360724602,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-02-01,31.302885995613497,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-03-01,31.4753185356106,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-04-01,31.236074131399103,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
