date,Housing Inventory: Median Listing Price Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2019-05-01,0.51,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-06-01,2.35,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-07-01,3.58,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-08-01,5.26,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-09-01,5.49,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-10-01,4.26,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-11-01,5.06,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-12-01,5.91,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-01-01,6.41,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-02-01,5.43,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-03-01,5.83,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-04-01,1.49,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-05-01,4.36,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-06-01,3.47,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-07-01,6.33,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-08-01,9.71,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-09-01,14.35,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-10-01,14.18,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-11-01,15.66,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2020-12-01,19.52,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2021-01-01,24.91,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
