date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1997-01-01,78.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
1998-01-01,79.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
1999-01-01,80.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2000-01-01,81.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2001-01-01,83.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2002-01-01,85.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2003-01-01,88.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2004-01-01,88.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2005-01-01,86.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2006-01-01,87.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2007-01-01,88.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2008-01-01,88.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
2009-01-01,87.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Local Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409093000001A,Annual,Not Seasonally Adjusted
