date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1991-01-01,6.8,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1992-01-01,6.8,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1993-01-01,6.9,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1994-01-01,6.8,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1995-01-01,7.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1996-01-01,7.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1997-01-01,7.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1998-01-01,7.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1999-01-01,7.5,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2000-01-01,7.8,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2001-01-01,8.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2002-01-01,8.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2003-01-01,8.5,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2004-01-01,8.6,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2005-01-01,9.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2006-01-01,9.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2007-01-01,9.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2008-01-01,9.3,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2009-01-01,9.6,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2010-01-01,9.7,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2011-01-01,9.7,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2012-01-01,9.7,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2013-01-01,9.8,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2014-01-01,9.9,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2015-01-01,9.9,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2016-01-01,9.8,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
