date,Resident Population,state,msa,city,title,id,frequency,seasonal_adjustment
2000-01-01,174.784,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2001-01-01,177.884,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2002-01-01,180.592,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2003-01-01,182.525,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2004-01-01,184.806,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2005-01-01,187.823,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2006-01-01,190.46,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2007-01-01,192.51,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2008-01-01,195.012,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2009-01-01,196.766,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2010-01-01,201.913,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2011-01-01,203.683,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2012-01-01,205.636,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2013-01-01,206.887,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2014-01-01,209.351,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2015-01-01,211.691,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2016-01-01,213.98,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2017-01-01,216.488,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2018-01-01,217.739,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2019-01-01,219.16,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2020-01-01,219.91,VA,"Charlottesville, VA",Charlottesville,"Resident Population in Charlottesville, VA (MSA)",CHLPOP,Annual,Not Seasonally Adjusted
2000-01-01,9117.732,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2001-01-01,9192.501,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2002-01-01,9245.135,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2003-01-01,9286.162,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2004-01-01,9332.09,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2005-01-01,9362.08,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2006-01-01,9398.855,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2007-01-01,9451.936,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2008-01-01,9515.636,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2009-01-01,9580.567,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2010-01-01,9470.661,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2011-01-01,9500.919,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2012-01-01,9528.134,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2013-01-01,9550.227,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2014-01-01,9560.285,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2015-01-01,9552.351,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2016-01-01,9533.732,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2017-01-01,9513.947,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2018-01-01,9485.403,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2019-01-01,9454.282,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2020-01-01,9406.638,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Resident Population in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",CHIPOP,Annual,Not Seasonally Adjusted
2000-01-01,2014.665,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2001-01-01,2035.68,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2002-01-01,2050.03,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2003-01-01,2066.256,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2004-01-01,2083.905,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2005-01-01,2102.422,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2006-01-01,2122.711,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2007-01-01,2148.315,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2008-01-01,2158.643,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2009-01-01,2171.896,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2010-01-01,2140.963,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2011-01-01,2146.885,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2012-01-01,2153.475,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2013-01-01,2163.183,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2014-01-01,2173.558,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2015-01-01,2183.071,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2016-01-01,2193.676,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2017-01-01,2205.111,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2018-01-01,2214.37,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2019-01-01,2225.262,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2020-01-01,2232.907,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Resident Population in Cincinnati, OH-KY-IN (MSA)",CTIPOP,Annual,Not Seasonally Adjusted
2000-01-01,5196.188,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
2001-01-01,5354.623,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
2002-01-01,5476.578,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
