date,All Employees: Transportation and Warehousing,state,msa,city,title,id,frequency,seasonal_adjustment
2020-01-01,52.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1990-01-01,52.4,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1991-01-01,51.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1992-01-01,53.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1993-01-01,53.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1994-01-01,56.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1995-01-01,59.4,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1996-01-01,61.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1997-01-01,62.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1998-01-01,64.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1999-01-01,65.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2000-01-01,64.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
