date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2019-02-01,4609.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-03-01,4715.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-04-01,4869.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-05-01,4897.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-06-01,4880.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-07-01,4834.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-08-01,4695.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-09-01,4627.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-10-01,4654.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-11-01,4547.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-12-01,4250.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-01-01,3923.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-02-01,3912.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-03-01,3994.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-04-01,4061.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-05-01,3899.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-06-01,3592.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-07-01,3276.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-08-01,3038.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-09-01,2775.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-10-01,2681.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-11-01,2456.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2020-12-01,2182.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-01-01,1781.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
