date,"All Employees: Mining, Logging, and Construction",state,msa,city,title,id,frequency,seasonal_adjustment
1992-01-01,0.932723935760422,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-02-01,0.958558186870604,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-03-01,0.9494688978512791,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-04-01,0.960025635991757,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-05-01,0.8932431105239241,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-06-01,0.9828512122232109,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-07-01,0.9769557222693929,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-08-01,0.9094736613138721,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-09-01,0.922221255035917,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-10-01,0.9275308655881709,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1992-11-01,0.8696810118714922,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
