date,All Employees: Manufacturing,state,msa,city,title,id,frequency,seasonal_adjustment
1992-12-01,23.9842807387866,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-01-01,24.042827220576402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-02-01,24.221402847456897,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-03-01,24.295105170693997,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-04-01,24.1852372146718,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-05-01,24.161332214005498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-06-01,24.2186054053658,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-07-01,24.487546156399397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-08-01,24.658621651642104,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-09-01,24.763154101086997,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-10-01,25.676342665044604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-11-01,25.8382529218143,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1993-12-01,26.1910774389991,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-01-01,26.2147421023418,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-02-01,26.2990844739728,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-03-01,26.6687904598883,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-04-01,26.886315803317,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-05-01,27.065578046217198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-06-01,27.3114168698851,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-07-01,27.4016100435502,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
