date,All Employees: Government: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1992-06-01,14.8332515942453,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1992-07-01,14.966232246520601,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1992-08-01,14.9111834930424,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1992-09-01,14.930110747329,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1992-10-01,14.898108271807198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1992-11-01,15.0415114213734,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1992-12-01,14.7812664016178,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-01-01,14.7166934825671,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-02-01,14.9293630472019,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-03-01,14.8813047588941,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-04-01,14.980952783385801,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-05-01,15.203027065984099,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-06-01,15.1358347951754,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-07-01,14.997619505624499,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-08-01,15.1252069586766,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-09-01,14.9306990769841,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-10-01,15.193463189141,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-11-01,15.2379878171659,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1993-12-01,15.253796513212901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-01-01,15.2234854663152,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-02-01,15.234552316580999,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-03-01,15.1864183322261,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-04-01,15.159758051779,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-05-01,15.0936723058853,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-06-01,15.0333015541659,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-07-01,15.143406391052102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-08-01,15.053114614578199,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-09-01,15.2312579520443,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-10-01,14.8769619887125,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-11-01,14.8277910292115,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1994-12-01,14.8234356617208,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-01-01,14.719369224056301,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
