date,Per Capita Personal Income,state,msa,city,title,id,frequency,seasonal_adjustment
2003-01-01,35608,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2004-01-01,37002,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2005-01-01,38674,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2006-01-01,40363,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2007-01-01,41100,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2008-01-01,40087,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2009-01-01,38377,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2010-01-01,38776,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2011-01-01,41187,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2012-01-01,42010,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2013-01-01,42224,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2014-01-01,45092,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2015-01-01,47194,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2016-01-01,48657,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2017-01-01,51050,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
