date,Housing Inventory: Median Listing Price per Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2018-08-01,126.7244465,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2018-09-01,125.3753754,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2018-10-01,126.0546487,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2018-11-01,126.0384844,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2018-12-01,126.054358,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-01-01,126.769138,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-02-01,129.1094579,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-03-01,131.9455738,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-04-01,134.1534462,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-05-01,135.6194424,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-06-01,135.7466063,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-07-01,135.9782443,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-08-01,135.6360637,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-09-01,135.657072,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
