date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2018-11-01,1532.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2018-12-01,1364.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-01-01,1184.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-02-01,1208.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-03-01,972.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-04-01,804.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-05-01,876.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-06-01,1064.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-07-01,1092.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-08-01,956.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-09-01,892.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-10-01,976.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-11-01,816.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2019-12-01,452.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-01-01,436.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-02-01,504.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-03-01,512.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-04-01,464.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-05-01,528.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-06-01,540.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-07-01,484.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-08-01,480.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-09-01,492.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-10-01,540.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-11-01,428.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2020-12-01,292.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-01-01,268.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-02-01,180.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-03-01,208.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-04-01,172.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-05-01,208.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-06-01,292.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
