date,All Employees: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1991-01-01,55.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1992-01-01,55.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1993-01-01,57.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1994-01-01,60.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1995-01-01,62.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1996-01-01,62.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1997-01-01,63.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1998-01-01,63.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1999-01-01,64.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2000-01-01,63.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2001-01-01,65.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2002-01-01,67.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2003-01-01,68.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2004-01-01,68.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2005-01-01,69.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2006-01-01,71.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2007-01-01,74.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2008-01-01,75.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2009-01-01,74.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2010-01-01,71.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2011-01-01,70.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2012-01-01,70.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2013-01-01,70.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2014-01-01,71.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2015-01-01,71.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2016-01-01,70.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2017-01-01,71.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2018-01-01,73.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2019-01-01,73.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
2020-01-01,71.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: State Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609092000001A,Annual,Not Seasonally Adjusted
1990-01-01,4.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1991-01-01,4.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1992-01-01,4.3,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1993-01-01,4.8,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1994-01-01,5.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1995-01-01,5.7,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1996-01-01,5.9,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
