date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,125.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1991-01-01,129.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1992-01-01,132.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1993-01-01,137.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1994-01-01,142.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1995-01-01,144.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1996-01-01,148.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1997-01-01,155.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1998-01-01,161.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1999-01-01,166.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
