date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2018-12-01,2870.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-01-01,2498.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-02-01,2409.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-03-01,2292.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-04-01,2298.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-05-01,2455.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-06-01,2657.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-07-01,2667.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-08-01,2611.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-09-01,2529.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
