date,Housing Inventory: Average Listing Price Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2019-09-01,-0.97,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-10-01,3.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-11-01,0.11,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-12-01,0.19,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-01-01,2.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-02-01,3.37,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-03-01,2.47,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-04-01,-2.73,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-05-01,2.48,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-06-01,8.73,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-07-01,1.22,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-08-01,1.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-09-01,-1.13,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-10-01,-1.12,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-11-01,-2.18,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-12-01,-0.52,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-01-01,0.07,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-02-01,-0.22,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
