date,"All Employees: Mining, Logging, and Construction",state,msa,city,title,id,frequency,seasonal_adjustment
1992-09-01,15.3822597913077,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1992-10-01,16.019732757897998,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1992-11-01,15.688942195574601,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1992-12-01,15.751554920029399,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-01-01,15.956023343333198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-02-01,16.284525938180998,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-03-01,16.3097054666475,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-04-01,17.1528063243611,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-05-01,17.418192495123698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-06-01,17.8281389411902,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-07-01,18.0953888842147,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-08-01,18.5515878398086,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-09-01,18.970566659566103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-10-01,19.4758443819338,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1993-11-01,19.9110983128011,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
