date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2018-12-01,322407.8295,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-01-01,323541.059,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-02-01,331974.5494,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-03-01,347063.6628,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-04-01,359210.7543,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-05-01,363576.9949,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-06-01,363985.0177,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-07-01,356771.9282,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-08-01,354207.1875,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-09-01,350770.3748,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-10-01,361427.9323,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-11-01,361842.044,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2019-12-01,362517.4379,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-01-01,371251.7254,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-02-01,383744.439,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-03-01,393229.2658,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-04-01,382474.703,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-05-01,391946.1598,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-06-01,426170.3659,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-07-01,431355.8952,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-08-01,437298.0931,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-09-01,432375.9837,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
