date,Housing Inventory: Median Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2018-09-01,324900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-10-01,319450.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-11-01,319116.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-12-01,315000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-01-01,313950.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-02-01,317446.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-03-01,324237.1429,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-04-01,329950.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-05-01,337510.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-06-01,334900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-07-01,329450.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-08-01,323803.4286,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-09-01,320000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-10-01,322450.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-11-01,325000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2019-12-01,319950.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2020-01-01,319450.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2020-02-01,324816.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2020-03-01,329950.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2020-04-01,325450.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2020-05-01,334848.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2020-06-01,347000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2020-07-01,356508.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
