date,Housing Inventory: New Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2018-09-01,16660.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2018-10-01,17204.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2018-11-01,14788.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2018-12-01,11948.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-01-01,16000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-02-01,17880.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-03-01,18440.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-04-01,20836.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-05-01,21296.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-06-01,19756.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-07-01,19136.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-08-01,18488.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-09-01,17536.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-10-01,17268.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-11-01,14440.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2019-12-01,11292.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-01-01,15224.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-02-01,15508.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-03-01,18156.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-04-01,14212.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-05-01,16420.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-06-01,16408.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-07-01,15380.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-08-01,15744.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-09-01,14460.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-10-01,14020.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-11-01,11756.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2020-12-01,9596.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-01-01,10916.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-02-01,11520.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-03-01,13416.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-04-01,14600.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-05-01,15528.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-06-01,16952.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-07-01,16836.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-08-01,16132.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-09-01,14348.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-10-01,14776.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2021-11-01,12796.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: New Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",NEWLISCOU12060,Monthly,Not Seasonally Adjusted
2016-07-01,19448.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2016-08-01,16680.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2016-09-01,20160.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2016-10-01,17604.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2016-11-01,16944.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2016-12-01,10660.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-01-01,16364.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-02-01,19740.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-03-01,23932.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-04-01,25420.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-05-01,27832.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-06-01,24496.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-07-01,21952.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-08-01,20880.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-09-01,20340.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-10-01,20660.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-11-01,16768.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2017-12-01,11540.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-01-01,17108.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-02-01,20920.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-03-01,22904.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-04-01,28476.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-05-01,29160.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-06-01,25740.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-07-01,23332.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-08-01,21536.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-09-01,24296.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-10-01,21904.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-11-01,18120.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2018-12-01,12736.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-01-01,19864.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-02-01,20016.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-03-01,24472.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-04-01,28940.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-05-01,31008.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-06-01,26904.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-07-01,22324.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-08-01,24556.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-09-01,25752.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-10-01,20528.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-11-01,17748.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2019-12-01,10276.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2020-01-01,19068.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2020-02-01,21800.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2020-03-01,20372.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2020-04-01,8396.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2020-05-01,18320.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2020-06-01,26540.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
2020-07-01,27708.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: New Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",NEWLISCOU35620,Monthly,Not Seasonally Adjusted
