date,Housing Inventory: Median Home Size in Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2018-08-01,2604.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-09-01,2580.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-10-01,2550.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-11-01,2545.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-12-01,2529.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-01-01,2493.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-02-01,2483.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-03-01,2531.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-04-01,2571.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-05-01,2599.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-06-01,2588.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-07-01,2559.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-08-01,2525.142857,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-09-01,2497.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-10-01,2498.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-11-01,2489.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-12-01,2456.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-01-01,2445.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-02-01,2459.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-03-01,2478.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-04-01,2424.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-05-01,2437.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-06-01,2457.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-07-01,2475.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-08-01,2448.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-09-01,2396.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-10-01,2361.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-11-01,2295.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-12-01,2250.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2021-01-01,2227.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2021-02-01,2198.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2021-03-01,2206.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
