date,All Employees: Manufacturing,state,msa,city,title,id,frequency,seasonal_adjustment
1992-04-01,178.321506368914,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-05-01,178.820520004315,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-06-01,179.123628625825,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-07-01,179.40796047204498,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-08-01,179.68726169056,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-09-01,180.19664704688802,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-10-01,181.38669726307,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-11-01,181.30948371636902,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-12-01,181.453350122053,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-01-01,181.443246089497,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-02-01,181.17157234143698,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-03-01,180.941915411719,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-04-01,181.126044573997,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-05-01,181.121071289671,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-06-01,181.164930774719,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-07-01,182.868383901835,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-08-01,182.66631680984,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-09-01,182.748128782833,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-10-01,182.91079881485402,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-11-01,183.58859652779302,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1993-12-01,184.543504997177,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-01-01,184.95048471907,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-02-01,186.17950393073102,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-03-01,186.285498057602,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-04-01,187.173821147105,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-05-01,187.72185435457297,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-06-01,188.398044469939,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-07-01,188.83717620309503,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-08-01,189.508594346629,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-09-01,190.36694161334302,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-10-01,190.43319802621,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-11-01,192.11948661871497,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1994-12-01,193.122594394296,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-01-01,194.73609069104302,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-02-01,195.321940265584,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-03-01,196.24726921310398,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-04-01,196.49128945226897,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-05-01,196.659214128717,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-06-01,196.81138452431702,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-07-01,196.722954453525,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-08-01,197.230614989128,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-09-01,197.42316547803298,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-10-01,196.297325333119,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1995-11-01,196.762149873366,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
