date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure,housing_active_listing_count_4,hourly_earnings_4,unemployment_rate_4,financial_4,housing_new_listing_count_4,leisure_4,housing_median_days_on_market_4,manufacturing_4,education_4,housing_median_home_size_in_square_feet_4,housing_median_listing_price_4,government_4,housing_active_listing_count_3,hourly_earnings_3,unemployment_rate_3,financial_3,housing_new_listing_count_3,leisure_3,housing_median_days_on_market_3,manufacturing_3,education_3,housing_median_home_size_in_square_feet_3,housing_median_listing_price_3,government_3,housing_active_listing_count_2,hourly_earnings_2,unemployment_rate_2,financial_2,housing_new_listing_count_2,leisure_2,housing_median_days_on_market_2,manufacturing_2,education_2,housing_median_home_size_in_square_feet_2,housing_median_listing_price_2,government_2,housing_active_listing_count_1,hourly_earnings_1,unemployment_rate_1,financial_1,housing_new_listing_count_1,leisure_1,housing_median_days_on_market_1,manufacturing_1,education_1,housing_median_home_size_in_square_feet_1,housing_median_listing_price_1,government_1,housing_active_listing_count_0,hourly_earnings_0,unemployment_rate_0,financial_0,housing_new_listing_count_0,leisure_0,housing_median_days_on_market_0,manufacturing_0,education_0,housing_median_home_size_in_square_feet_0,housing_median_listing_price_0,government_0,housing_median_listing_price_s0,housing_active_listing_count_s0,housing_new_listing_count_s0,housing_median_days_on_market_s0,housing_median_home_size_in_square_feet_s0,resident_population_0
2016-07-01,2016,7,Atlanta,GA,272000.0,-0.5550896354378863,-0.5451800557346497,-0.1065929014496187,-0.107282563403061,-0.4265895226696634,-0.5917585501293192,-0.5910918709374762,0.190052638100649,1.4376125184202369,-0.6132711512011157,-0.5341849768758773,-0.6853432698140938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,2016,8,Atlanta,GA,269900.0,-0.554903801004227,-0.5449404074537817,-0.0935532879171031,-0.107282563403061,-0.4240039716678397,-0.5914615974998613,-0.6049107622227147,0.190052638100649,1.3847963232940903,-0.6354428629913277,-0.3380204834974525,-0.6853949522672497,-0.5910918709374762,-0.1065929014496187,0.190052638100649,-0.5451800557346497,-0.6132711512011157,-0.6853432698140938,-0.5341849768758773,-0.5917585501293192,-0.5550896354378863,1.4376125184202369,272000.0,-0.4265895226696634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,2016,9,Atlanta,GA,270168.0,-0.554659692245639,-0.5446519194774765,-0.1177322161923386,-0.107282563403061,-0.4232009021724339,-0.5913143420067279,-0.6084824335750293,0.190052638100649,1.3651788793900934,-0.6345018884856423,-0.2203217874703976,-0.6841015001251092,-0.6049107622227147,-0.0935532879171031,0.190052638100649,-0.5449404074537817,-0.6354428629913277,-0.6853949522672497,-0.3380204834974525,-0.5914615974998613,-0.554903801004227,1.3847963232940903,269900.0,-0.4240039716678397,-0.5910918709374762,-0.1065929014496187,0.190052638100649,-0.5451800557346497,-0.6132711512011157,-0.6853432698140938,-0.5341849768758773,-0.5917585501293192,-0.5550896354378863,1.4376125184202369,272000.0,-0.4265895226696634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,2016,10,Atlanta,GA,269900.0,-0.554448038102927,-0.5447637022956838,-0.0124643109029877,-0.107282563403061,-0.423095720449779,-0.5912076923903599,-0.6110300150882731,0.190052638100649,1.3470704696325575,-0.6405006009593865,-0.2203217874703976,-0.6841976774143144,-0.6084824335750293,-0.1177322161923386,0.190052638100649,-0.5446519194774765,-0.6345018884856423,-0.6841015001251092,-0.2203217874703976,-0.5913143420067279,-0.554659692245639,1.3651788793900934,270168.0,-0.4232009021724339,-0.6049107622227147,-0.0935532879171031,0.190052638100649,-0.5449404074537817,-0.6354428629913277,-0.6853949522672497,-0.3380204834974525,-0.5914615974998613,-0.554903801004227,1.3847963232940903,269900.0,-0.4240039716678397,-0.5910918709374762,-0.1065929014496187,0.190052638100649,-0.5451800557346497,-0.6132711512011157,-0.6853432698140938,-0.5341849768758773,-0.5917585501293192,-0.5550896354378863,1.4376125184202369,272000.0,-0.4265895226696634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,2016,11,Atlanta,GA,269900.0,-0.5543921927388414,-0.5445386812511629,-0.0447330382194527,-0.107282563403061,-0.4219744732162585,-0.5908741077262188,-0.6197916726003229,0.190052638100649,1.3410343330467125,-0.6720820578064522,-0.0241572940919729,-0.683535581354117,-0.6110300150882731,-0.0124643109029877,0.190052638100649,-0.5447637022956838,-0.6405006009593865,-0.6841976774143144,-0.2203217874703976,-0.5912076923903599,-0.554448038102927,1.3470704696325575,269900.0,-0.423095720449779,-0.6084824335750293,-0.1177322161923386,0.190052638100649,-0.5446519194774765,-0.6345018884856423,-0.6841015001251092,-0.2203217874703976,-0.5913143420067279,-0.554659692245639,1.3651788793900934,270168.0,-0.4232009021724339,-0.6049107622227147,-0.0935532879171031,0.190052638100649,-0.5449404074537817,-0.6354428629913277,-0.6853949522672497,-0.3380204834974525,-0.5914615974998613,-0.554903801004227,1.3847963232940903,269900.0,-0.4240039716678397,-0.5910918709374762,-0.1065929014496187,0.190052638100649,-0.5451800557346497,-0.6132711512011157,-0.6853432698140938,-0.5341849768758773,-0.5917585501293192,-0.5550896354378863,1.4376125184202369,272000.0,-0.4265895226696634,,,,,,,,,,,,,,,,,,
2016-12-01,2016,12,Atlanta,GA,269000.0,-0.5543478486902806,-0.5444953459571013,-0.0500977528471966,-0.107282563403061,-0.4220910987831373,-0.5906427605784891,-0.6371063767312782,0.190052638100649,1.2867091037741047,-0.712602772457529,0.721267780746041,-0.6832190160078419,-0.6197916726003229,-0.0447330382194527,0.190052638100649,-0.5445386812511629,-0.6720820578064522,-0.683535581354117,-0.0241572940919729,-0.5908741077262188,-0.5543921927388414,1.3410343330467125,269900.0,-0.4219744732162585,-0.6110300150882731,-0.0124643109029877,0.190052638100649,-0.5447637022956838,-0.6405006009593865,-0.6841976774143144,-0.2203217874703976,-0.5912076923903599,-0.554448038102927,1.3470704696325575,269900.0,-0.423095720449779,-0.6084824335750293,-0.1177322161923386,0.190052638100649,-0.5446519194774765,-0.6345018884856423,-0.6841015001251092,-0.2203217874703976,-0.5913143420067279,-0.554659692245639,1.3651788793900934,270168.0,-0.4232009021724339,-0.6049107622227147,-0.0935532879171031,0.190052638100649,-0.5449404074537817,-0.6354428629913277,-0.6853949522672497,-0.3380204834974525,-0.5914615974998613,-0.554903801004227,1.3847963232940903,269900.0,-0.4240039716678397,-0.5910918709374762,-0.1065929014496187,0.190052638100649,-0.5451800557346497,-0.6132711512011157,-0.6853432698140938,-0.5341849768758773,-0.5917585501293192,-0.5550896354378863,1.4376125184202369,272000.0,-0.4265895226696634,,,,,,
2017-01-01,2017,1,Atlanta,GA,269900.0,-0.5567891874680742,-0.5475140330831667,0.081169099409269,-0.0961731194934179,-0.4336611766618496,-0.592891902764253,-0.6615190512793883,0.1487949799803073,1.2746368306024145,-0.664831850023302,0.8389664767730959,-0.6883683363128944,-0.6371063767312782,-0.0500977528471966,0.190052638100649,-0.5444953459571013,-0.712602772457529,-0.6832190160078419,0.721267780746041,-0.5906427605784891,-0.5543478486902806,1.2867091037741047,269000.0,-0.4220910987831373,-0.6197916726003229,-0.0447330382194527,0.190052638100649,-0.5445386812511629,-0.6720820578064522,-0.683535581354117,-0.0241572940919729,-0.5908741077262188,-0.5543921927388414,1.3410343330467125,269900.0,-0.4219744732162585,-0.6110300150882731,-0.0124643109029877,0.190052638100649,-0.5447637022956838,-0.6405006009593865,-0.6841976774143144,-0.2203217874703976,-0.5912076923903599,-0.554448038102927,1.3470704696325575,269900.0,-0.423095720449779,-0.6084824335750293,-0.1177322161923386,0.190052638100649,-0.5446519194774765,-0.6345018884856423,-0.6841015001251092,-0.2203217874703976,-0.5913143420067279,-0.554659692245639,1.3651788793900934,270168.0,-0.4232009021724339,-0.6049107622227147,-0.0935532879171031,0.190052638100649,-0.5449404074537817,-0.6354428629913277,-0.6853949522672497,-0.3380204834974525,-0.5914615974998613,-0.554903801004227,1.3847963232940903,269900.0,-0.4240039716678397,,,,,,
2017-02-01,2017,2,Atlanta,GA,274750.0,-0.5564502768285032,-0.5472162893013073,-0.0120639266071001,-0.0961731194934179,-0.4323603648206508,-0.5928660616137138,-0.663895321716128,0.1487949799803073,1.3002904110922566,-0.6388403629194807,-0.2595546861460826,-0.6878346164440357,-0.6615190512793883,0.081169099409269,0.1487949799803073,-0.5475140330831667,-0.664831850023302,-0.6883683363128944,0.8389664767730959,-0.592891902764253,-0.5567891874680742,1.2746368306024145,269900.0,-0.4336611766618496,-0.6371063767312782,-0.0500977528471966,0.190052638100649,-0.5444953459571013,-0.712602772457529,-0.6832190160078419,0.721267780746041,-0.5906427605784891,-0.5543478486902806,1.2867091037741047,269000.0,-0.4220910987831373,-0.6197916726003229,-0.0447330382194527,0.190052638100649,-0.5445386812511629,-0.6720820578064522,-0.683535581354117,-0.0241572940919729,-0.5908741077262188,-0.5543921927388414,1.3410343330467125,269900.0,-0.4219744732162585,-0.6110300150882731,-0.0124643109029877,0.190052638100649,-0.5447637022956838,-0.6405006009593865,-0.6841976774143144,-0.2203217874703976,-0.5912076923903599,-0.554448038102927,1.3470704696325575,269900.0,-0.423095720449779,-0.6084824335750293,-0.1177322161923386,0.190052638100649,-0.5446519194774765,-0.6345018884856423,-0.6841015001251092,-0.2203217874703976,-0.5913143420067279,-0.554659692245639,1.3651788793900934,270168.0,-0.4232009021724339,,,,,,
2017-03-01,2017,3,Atlanta,GA,282450.0,-0.5561298440880311,-0.5468483310277762,0.0040524864056607,-0.0961731194934179,-0.4317610605379727,-0.592353765070423,-0.6720311313509603,0.1075373218599655,1.4210131428091624,-0.6127917516681786,-0.8872810649570417,-0.6874200401829976,-0.663895321716128,-0.0120639266071001,0.1487949799803073,-0.5472162893013073,-0.6388403629194807,-0.6878346164440357,-0.2595546861460826,-0.5928660616137138,-0.5564502768285032,1.3002904110922566,274750.0,-0.4323603648206508,-0.6615190512793883,0.081169099409269,0.1487949799803073,-0.5475140330831667,-0.664831850023302,-0.6883683363128944,0.8389664767730959,-0.592891902764253,-0.5567891874680742,1.2746368306024145,269900.0,-0.4336611766618496,-0.6371063767312782,-0.0500977528471966,0.190052638100649,-0.5444953459571013,-0.712602772457529,-0.6832190160078419,0.721267780746041,-0.5906427605784891,-0.5543478486902806,1.2867091037741047,269000.0,-0.4220910987831373,-0.6197916726003229,-0.0447330382194527,0.190052638100649,-0.5445386812511629,-0.6720820578064522,-0.683535581354117,-0.0241572940919729,-0.5908741077262188,-0.5543921927388414,1.3410343330467125,269900.0,-0.4219744732162585,-0.6110300150882731,-0.0124643109029877,0.190052638100649,-0.5447637022956838,-0.6405006009593865,-0.6841976774143144,-0.2203217874703976,-0.5912076923903599,-0.554448038102927,1.3470704696325575,269900.0,-0.423095720449779,,,,,,
2017-04-01,2017,4,Atlanta,GA,297000.0,-0.5560040154072491,-0.5466923574379756,0.1299469517084767,-0.0961731194934179,-0.4317521088154414,-0.5933788532621285,-0.6693539894635739,0.0662796637396233,1.6337869574602084,-0.6184470422687902,-0.9265139636327268,-0.6864033429195603,-0.6720311313509603,0.0040524864056607,0.1075373218599655,-0.5468483310277762,-0.6127917516681786,-0.6874200401829976,-0.8872810649570417,-0.592353765070423,-0.5561298440880311,1.4210131428091624,282450.0,-0.4317610605379727,-0.663895321716128,-0.0120639266071001,0.1487949799803073,-0.5472162893013073,-0.6388403629194807,-0.6878346164440357,-0.2595546861460826,-0.5928660616137138,-0.5564502768285032,1.3002904110922566,274750.0,-0.4323603648206508,-0.6615190512793883,0.081169099409269,0.1487949799803073,-0.5475140330831667,-0.664831850023302,-0.6883683363128944,0.8389664767730959,-0.592891902764253,-0.5567891874680742,1.2746368306024145,269900.0,-0.4336611766618496,-0.6371063767312782,-0.0500977528471966,0.190052638100649,-0.5444953459571013,-0.712602772457529,-0.6832190160078419,0.721267780746041,-0.5906427605784891,-0.5543478486902806,1.2867091037741047,269000.0,-0.4220910987831373,-0.6197916726003229,-0.0447330382194527,0.190052638100649,-0.5445386812511629,-0.6720820578064522,-0.683535581354117,-0.0241572940919729,-0.5908741077262188,-0.5543921927388414,1.3410343330467125,269900.0,-0.4219744732162585,,,,,,
