date,Per Capita Personal Income,state,msa,city,title,id,frequency,seasonal_adjustment
1997-01-01,28180,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1998-01-01,30507,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1999-01-01,31860,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2000-01-01,34017,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2001-01-01,34998,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2002-01-01,35063,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2003-01-01,35608,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2004-01-01,37002,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2005-01-01,38674,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2006-01-01,40363,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2007-01-01,41100,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2008-01-01,40087,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2009-01-01,38377,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2010-01-01,38776,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2011-01-01,41187,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2012-01-01,42010,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2013-01-01,42224,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2014-01-01,45092,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2015-01-01,47194,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2016-01-01,48657,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2017-01-01,51050,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2018-01-01,53354,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2019-01-01,55668,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2020-01-01,58773,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1969-01-01,4958,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1970-01-01,5290,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1971-01-01,5617,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1972-01-01,6039,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
