date,All Employees: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
2014-01-01,44.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2015-01-01,45.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2016-01-01,46.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2017-01-01,47.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2018-01-01,46.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2019-01-01,47.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2020-01-01,49.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1990-01-01,173.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1991-01-01,165.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1992-01-01,162.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1993-01-01,157.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
